품명,규격,단위,수량,자재비.단가,자재비.금액,노무비.단가,노무비.금액,경비.단가,경비.금액,합계.단가,합계.금액,비고
 기계식닥트제작설치(아연도) ,0.5T, M2 ,120 ,13210 ,1585200,22170 ,2660400,,,35380 ,4245600,
 기계식닥트제작설치(아연도) ,0.6T, M2 ,10 ,14160 ,141600,20820 ,208200,,,34980 ,349800,
 기계식닥트제작설치(아연도) ,0.8T, M2 ,206 ,17110 ,3524660,21760 ,4482560,,,38870 ,8007220,
 기계식닥트제작설치(STS) ,0.6T, M2 ,5 ,46560 ,232800,27270 ,136350,,,73830 ,369150,
 덕트보온(아티론) ,25T 아티론, M2 ,336 ,8800 ,2956800,32960 ,11074560,,,41760 ,14031360,
 V.D ,1100*650, EA ,2 ,82230 ,164460,72260 ,144520,,,154490 ,308980,
 V.D ,1100*400, EA ,1 ,46000 ,46000,48420 ,48420,,,94420 ,94420,
 V.D ,600*300, EA ,1 ,23000 ,23000,31800 ,31800,,,54800 ,54800,
 V.D ,300*250, EA ,19 ,23000 ,437000,25760 ,489440,,,48760 ,926440,
 R.V.D ,300A, EA ,19 ,14950 ,284050,25760 ,489440,,,40710 ,773490,
 GRILL ,600*200, EA ,19 ,23000 ,437000,36060 ,685140,,,59060 ,1122140,
 ROUND DIFFUSER ,300A, EA ,19 ,36800 ,699200,37230 ,707370,,,74030 ,1406570,
 점검구 ,300*300, EA ,2 ,11500 ,23000,24380 ,48760,,,35880 ,71760,
 FLEXIBLE HOSE ,비보온A250, M ,100 ,6210 ,621000,11680 ,1168000,,,17890 ,1789000,
 SPIN IN ,300A, EA ,21 ,3450 ,72450,  ,,,,3450 ,72450,
 STS BAND ,300A, EA ,42 ,1730 ,72660,  ,,,,1730 ,72660,
 INSECT SCREEN ,#24, M2 ,1 ,28750 ,28750,21000 ,21000,,,49750 ,49750,
 SOUND CAHAMBER ,1500*1200*1200, EA ,2 ,977500 ,1955000,206050 ,412100,,,1183550 ,2367100,
 덕트크리닝 ,equal, M2 ,336 ,1730 ,581280,3500 ,1176000,,,5230 ,1757280,
  ㄷ-CHANNEL ,100*50*5*7.5, KG ,500 ,1270 ,635000,  ,,,,1270 ,635000,
